# Job running on    1 total cores
# File reading...  : WAVECAR                                                                    
# TOTAL RECORD LENGTH =    370576
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    440.0000
# NKPOINT          :     80
#  K-GRID          :      1   X   1
# NBANDS           :    336
# RECIVEC B1 (A^-1):      0.768801     0.000000     0.177393
# RECIVEC B2       :      0.000000     0.747589     0.000000
# RECIVEC B3       :      0.000000     0.000000     0.391481
#  dk^2 = |dk1xk2| =      0.589848
  
# OPTICAL SELECTIVITY BETWEEN BANDS:  238    -   243
# n(k,w_cv)= |P(k,s,cv,+)|^2 - |P(k,s,cv,-)|^2
#            ---------------------------------
#            |P(k,s,cv,+)|^2 + |P(k,s,cv,-)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,cv,+ or -) = 1/sqrt(2)[p_x(k,cv,s) +(or -) i*p_y(k,cv,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,cv,s)=<psi(k,c,s)|-i*hbar*1/dx(y)|psi(k,v,s>
# MAXVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.342105        0.000000        0.000000        0.985713
# MINVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.500000        0.157895        0.000000       -0.338830
# (cart) kx        ky        kz(A^-1)   selectivity(n(k)),        (recip)kx        ky        kz
  -0.647411   1.121383  -0.149383        0.282020              -0.842105   1.500000   0.000000
  -0.647411   0.747589  -0.149383        0.527849              -0.842105   1.000000   0.000000
  -0.647411   0.373794  -0.149383        0.282020              -0.842105   0.500000   0.000000
  -0.647411   0.000000  -0.149383        0.527849              -0.842105   0.000000   0.000000
  -0.647411  -0.373794  -0.149383        0.282020              -0.842105  -0.500000   0.000000
  -0.647411  -0.747589  -0.149383        0.527849              -0.842105  -1.000000   0.000000
  -0.667643   1.121383  -0.154052        0.242677              -0.868421   1.500000   0.000000
  -0.667643   0.747589  -0.154052        0.524110              -0.868421   1.000000   0.000000
  -0.667643   0.373794  -0.154052        0.242677              -0.868421   0.500000   0.000000
  -0.667643   0.000000  -0.154052        0.524110              -0.868421   0.000000   0.000000
  -0.667643  -0.373794  -0.154052        0.242677              -0.868421  -0.500000   0.000000
  -0.667643  -0.747589  -0.154052        0.524110              -0.868421  -1.000000   0.000000
  -0.687874   1.121383  -0.158720        0.196105              -0.894737   1.500000   0.000000
  -0.687874   0.747589  -0.158720        0.476923              -0.894737   1.000000   0.000000
  -0.687874   0.373794  -0.158720        0.196105              -0.894737   0.500000   0.000000
  -0.687874   0.000000  -0.158720        0.476923              -0.894737   0.000000   0.000000
  -0.687874  -0.373794  -0.158720        0.196105              -0.894737  -0.500000   0.000000
  -0.687874  -0.747589  -0.158720        0.476923              -0.894737  -1.000000   0.000000
  -0.708106   1.121383  -0.163388        0.143957              -0.921053   1.500000   0.000000
  -0.708106   0.373794  -0.163388        0.143957              -0.921053   0.500000   0.000000
  -0.708106  -0.373794  -0.163388        0.143957              -0.921053  -0.500000   0.000000
  -0.708106   0.747589  -0.163388        0.126484              -0.921053   1.000000   0.000000
  -0.708106   0.000000  -0.163388        0.126484              -0.921053   0.000000   0.000000
  -0.708106  -0.747589  -0.163388        0.126484              -0.921053  -1.000000   0.000000
  -0.728338   1.121383  -0.168056        0.089122              -0.947368   1.500000   0.000000
  -0.728338   0.747589  -0.168056        0.898034              -0.947368   1.000000   0.000000
  -0.728338   0.373794  -0.168056        0.089122              -0.947368   0.500000   0.000000
  -0.728338   0.000000  -0.168056        0.898034              -0.947368   0.000000   0.000000
  -0.728338  -0.373794  -0.168056        0.089122              -0.947368  -0.500000   0.000000
  -0.728338  -0.747589  -0.168056        0.898034              -0.947368  -1.000000   0.000000
  -0.748569   1.121383  -0.172724        0.034912              -0.973684   1.500000   0.000000
  -0.748569   0.747589  -0.172724        0.894733              -0.973684   1.000000   0.000000
  -0.748569   0.373794  -0.172724        0.034912              -0.973684   0.500000   0.000000
  -0.748569   0.000000  -0.172724        0.894733              -0.973684   0.000000   0.000000
  -0.748569  -0.373794  -0.172724        0.034912              -0.973684  -0.500000   0.000000
  -0.748569  -0.747589  -0.172724        0.894733              -0.973684  -1.000000   0.000000
  -0.768801   1.121383  -0.177393       -0.016628              -1.000000   1.500000   0.000000
  -0.768801   1.121383  -0.177393       -0.016627              -1.000000   1.500000   0.000000
  -0.768801   1.101710  -0.177393        0.014241              -1.000000   1.473684   0.000000
  -0.768801   1.082037  -0.177393        0.016462              -1.000000   1.447368   0.000000
  -0.768801   1.062363  -0.177393        0.019647              -1.000000   1.421053   0.000000
  -0.768801   1.042690  -0.177393        0.024363              -1.000000   1.394737   0.000000
  -0.768801   1.023016  -0.177393        0.031681              -1.000000   1.368421   0.000000
  -0.768801   1.003343  -0.177393        0.044230              -1.000000   1.342105   0.000000
  -0.768801   0.983670  -0.177393        0.076222              -1.000000   1.315789   0.000000
  -0.768801   0.963996  -0.177393       -0.244617              -1.000000   1.289474   0.000000
  -0.768801   0.944323  -0.177393       -0.101409              -1.000000   1.263158   0.000000
  -0.768801   0.924649  -0.177393        0.980353              -1.000000   1.236842   0.000000
  -0.768801   0.904976  -0.177393        0.360641              -1.000000   1.210526   0.000000
  -0.768801   0.885303  -0.177393        0.336654              -1.000000   1.184211   0.000000
  -0.768801   0.865629  -0.177393        0.380089              -1.000000   1.157895   0.000000
  -0.768801   0.845956  -0.177393        0.448284              -1.000000   1.131579   0.000000
  -0.768801   0.826282  -0.177393        0.531862              -1.000000   1.105263   0.000000
  -0.768801   0.806609  -0.177393        0.626191              -1.000000   1.078947   0.000000
  -0.768801   0.786936  -0.177393        0.727092              -1.000000   1.052632   0.000000
  -0.768801   0.767262  -0.177393        0.827509              -1.000000   1.026316   0.000000
  -0.768801   0.747589  -0.177393        0.676004              -1.000000   1.000000   0.000000
  -0.768801   0.747589  -0.177393        0.676004              -1.000000   1.000000   0.000000
  -0.768801   0.373794  -0.177393       -0.016628              -1.000000   0.500000   0.000000
  -0.768801   0.373794  -0.177393       -0.016627              -1.000000   0.500000   0.000000
  -0.768801   0.354121  -0.177393        0.014241              -1.000000   0.473684   0.000000
  -0.768801   0.334448  -0.177393        0.016462              -1.000000   0.447368   0.000000
  -0.768801   0.314774  -0.177393        0.019647              -1.000000   0.421053   0.000000
  -0.768801   0.295101  -0.177393        0.024363              -1.000000   0.394737   0.000000
  -0.768801   0.275427  -0.177393        0.031681              -1.000000   0.368421   0.000000
  -0.768801   0.255754  -0.177393        0.044230              -1.000000   0.342105   0.000000
  -0.768801   0.236081  -0.177393        0.076222              -1.000000   0.315789   0.000000
  -0.768801   0.216407  -0.177393       -0.244617              -1.000000   0.289474   0.000000
  -0.768801   0.196734  -0.177393       -0.101409              -1.000000   0.263158   0.000000
  -0.768801   0.177061  -0.177393        0.980353              -1.000000   0.236842   0.000000
  -0.768801   0.157387  -0.177393        0.360641              -1.000000   0.210526   0.000000
  -0.768801   0.137714  -0.177393        0.336654              -1.000000   0.184211   0.000000
  -0.768801   0.118040  -0.177393        0.380089              -1.000000   0.157895   0.000000
  -0.768801   0.098367  -0.177393        0.448284              -1.000000   0.131579   0.000000
  -0.768801   0.078694  -0.177393        0.531862              -1.000000   0.105263   0.000000
  -0.768801   0.059020  -0.177393        0.626191              -1.000000   0.078947   0.000000
  -0.768801   0.039347  -0.177393        0.727092              -1.000000   0.052632   0.000000
  -0.768801   0.019673  -0.177393        0.827509              -1.000000   0.026316   0.000000
  -0.768801   0.000000  -0.177393        0.676004              -1.000000   0.000000   0.000000
  -0.768801   0.000000  -0.177393        0.676004              -1.000000   0.000000   0.000000
  -0.768801  -0.373794  -0.177393       -0.016628              -1.000000  -0.500000   0.000000
  -0.768801  -0.373794  -0.177393       -0.016627              -1.000000  -0.500000   0.000000
  -0.768801  -0.393468  -0.177393        0.014241              -1.000000  -0.526316   0.000000
  -0.768801  -0.413141  -0.177393        0.016462              -1.000000  -0.552632   0.000000
  -0.768801  -0.432815  -0.177393        0.019647              -1.000000  -0.578947   0.000000
  -0.768801  -0.452488  -0.177393        0.024363              -1.000000  -0.605263   0.000000
  -0.768801  -0.472161  -0.177393        0.031681              -1.000000  -0.631579   0.000000
  -0.768801  -0.491835  -0.177393        0.044230              -1.000000  -0.657895   0.000000
  -0.768801  -0.511508  -0.177393        0.076222              -1.000000  -0.684211   0.000000
  -0.768801  -0.531182  -0.177393       -0.244617              -1.000000  -0.710526   0.000000
  -0.768801  -0.550855  -0.177393       -0.101409              -1.000000  -0.736842   0.000000
  -0.768801  -0.570528  -0.177393        0.980353              -1.000000  -0.763158   0.000000
  -0.768801  -0.590202  -0.177393        0.360641              -1.000000  -0.789474   0.000000
  -0.768801  -0.609875  -0.177393        0.336654              -1.000000  -0.815789   0.000000
  -0.768801  -0.629549  -0.177393        0.380089              -1.000000  -0.842105   0.000000
  -0.768801  -0.649222  -0.177393        0.448284              -1.000000  -0.868421   0.000000
  -0.768801  -0.668895  -0.177393        0.531862              -1.000000  -0.894737   0.000000
  -0.768801  -0.688569  -0.177393        0.626191              -1.000000  -0.921053   0.000000
  -0.768801  -0.708242  -0.177393        0.727092              -1.000000  -0.947368   0.000000
  -0.768801  -0.727915  -0.177393        0.827509              -1.000000  -0.973684   0.000000
  -0.768801  -0.747589  -0.177393        0.676004              -1.000000  -1.000000   0.000000
  -0.768801  -0.747589  -0.177393        0.676004              -1.000000  -1.000000   0.000000
